ds,cve_publicadas
2024-08-21,81
2024-08-22,41
2024-08-23,39
2024-08-24,10
2024-08-25,2
2024-08-26,44
2024-08-27,33
2024-08-28,35
2024-08-29,66
2024-08-30,19
2024-08-31,4
2024-09-01,2
2024-09-02,45
2024-09-03,42
2024-09-04,52
2024-09-05,33
2024-09-06,39
2024-09-07,26
2024-09-08,11
2024-09-09,24
2024-09-10,132
2024-09-11,54
2024-09-12,58
2024-09-13,55
2024-09-14,7
2024-09-15,7
2024-09-16,33
2024-09-17,59
2024-09-18,111
2024-09-19,19
2024-09-20,21
2024-09-21,2
2024-09-22,8
2024-09-23,27
2024-09-24,6
2024-09-25,83
2024-09-26,39
2024-09-27,64
2024-09-28,9
2024-09-29,2
2024-09-30,27
2024-10-01,50
2024-10-02,30
2024-10-03,33
2024-10-04,22
2024-10-05,35
2024-10-06,41
2024-10-07,55
2024-10-08,133
2024-10-09,63
2024-10-10,47
2024-10-11,72
2024-10-12,4
2024-10-13,11
2024-10-14,38
2024-10-15,89
2024-10-16,98
2024-10-17,75
2024-10-18,27
2024-10-19,4
2024-10-20,45
2024-10-21,141
2024-10-22,41
2024-10-23,37
2024-10-24,53
2024-10-25,64
2024-10-26,22
2024-10-27,6
2024-10-28,71
2024-10-29,114
2024-10-30,52
2024-10-31,34
2024-11-01,42
2024-11-02,4
2024-11-03,5
2024-11-04,63
2024-11-05,77
2024-11-06,19
2024-11-07,47
2024-11-08,48
2024-11-09,93
2024-11-10,14
2024-11-11,53
2024-11-12,195
2024-11-13,105
2024-11-14,80
2024-11-15,62
2024-11-16,26
2024-11-17,8
2024-11-18,83
2024-11-19,107
2024-11-20,64
2024-11-21,37
2024-11-22,264
2024-11-23,13
2024-11-24,11
2024-11-25,20
2024-11-26,86
2024-11-27,25
2024-11-28,60
2024-11-29,42
2024-11-30,5
2024-12-01,3
2024-12-02,111
2024-12-03,28
2024-12-04,34
2024-12-05,67
2024-12-06,78
2024-12-07,6
2024-12-08,2
2024-12-09,57
2024-12-10,100
2024-12-11,16
2024-12-12,152
2024-12-13,89
2024-12-14,8
2024-12-15,5
2024-12-16,129
2024-12-17,39
2024-12-18,79
2024-12-19,52
2024-12-20,26
2024-12-21,7
2024-12-22,3
2024-12-23,15
2024-12-24,13
2024-12-25,10
2024-12-26,23
2024-12-27,94
2024-12-28,12
2024-12-29,7
2024-12-30,32
2024-12-31,51
2025-01-01,0
2025-01-02,37
2025-01-03,27
2025-01-04,12
2025-01-05,1
2025-01-06,50
2025-01-07,125
2025-01-08,42
2025-01-09,99
2025-01-10,31
2025-01-11,9
2025-01-12,1
2025-01-13,42
2025-01-14,308
2025-01-15,90
2025-01-16,162
2025-01-17,28
2025-01-18,12
2025-01-19,21
2025-01-20,8
2025-01-21,111
2025-01-22,122
2025-01-23,59
2025-01-24,61
2025-01-25,8
2025-01-26,7
2025-01-27,85
2025-01-28,39
2025-01-29,33
2025-01-30,42
2025-01-31,70
2025-02-01,5
2025-02-02,0
2025-02-03,106
2025-02-04,49
2025-02-05,66
2025-02-06,42
2025-02-07,61
2025-02-08,3
2025-02-09,1
2025-02-10,27
2025-02-11,142
2025-02-12,111
2025-02-13,76
2025-02-14,70
2025-02-15,7
2025-02-16,13
2025-02-17,11
2025-02-18,67
2025-02-19,46
2025-02-20,43
2025-02-21,24
2025-02-22,20
2025-02-23,4
2025-02-24,37
2025-02-25,59
2025-02-26,129
2025-02-27,84
2025-02-28,24
2025-03-01,16
2025-03-02,5
2025-03-03,237
2025-03-04,47
2025-03-05,83
2025-03-06,27
2025-03-07,38
2025-03-08,9
2025-03-09,2
2025-03-10,38
2025-03-11,167
2025-03-12,26
2025-03-13,44
2025-03-14,37
2025-03-15,23
2025-03-16,6
2025-03-17,59
2025-03-18,43
2025-03-19,31
2025-03-20,237
2025-03-21,22
2025-03-22,10
2025-03-23,23
2025-03-24,64
2025-03-25,55
2025-03-26,102
